wheel,level,kannada,roman,english,literal,sthayi,also,note,notes,song,by,source,yt,start
bhava,2,ಹೊಟ್ಟೆಕಿಚ್ಚು,hoṭṭe-kiccu,Jealous,,,"ಅಸೂಯೆ|asūye|envy ;; ಮಾತ್ಸರ್ಯ|mātsarya|envious rivalry ;; ಕರುಬು|karubu|to begrudge, to smoulder ;; ಹೊಟ್ಟೆಯುರಿ|hoṭṭeyuri|the burn of being wronged","Belly-fire. Envy located precisely in the stomach, and said out loud: everyone knows which organ is burning.",,,,,,
bhava,1,ಜಗಳಗಂಟ,jagaḷagaṇṭa,Aggressive,,,ಆಕ್ರಮಣಶೀಲ|ākramaṇaśīla|aggressive ;; ಕಾದಾಟ|kādāṭa|fighting ;; ಹಟಮಾರಿ|haṭamāri|obstinate and combative,'Quarrel-knot': a person who ties fights.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಜಗಳಗಂಟ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಜಗವೇ ಒಂದು ರಣರಂಗ,ಹಂಸಲೇಖ · ಶಿವರಾಜ್‌ಕುಮಾರ್,ರಣರಂಗ · 1988,MpzlmO8OLH8,25
bhava,2,ಕೆರಳಿಕೆ,keraḷike,Provoked,,,,ಕೆಣಕು is the good one: to poke a thing that was sitting quietly.,,,,,,
bhava,2,ಹಗೆತನ,hagetana,Hostile,,,,"ಹಗೆ is the old native word for enemy, and it is heavy: the enmity of feuds and epics, not of office politics.",,,,,,
bhava,1,ರೇಜಿಗೆ,rējige,Frustrated,,,,Frustration as an ongoing state: exasperation at something that keeps not working.,,,,,,
bhava,2,ಕೆಂಡಾಮಂಡಲ,keṇḍā-maṇḍala,Infuriated,,,,"'A whole mandala of live coals.' One of the finest anger words in the language, and unfindable from English.",,,,,,
bhava,2,ಕಿರಿಕಿರಿ,kirikiri,Annoyed,,,,Onomatopoeia again: the sound of a small grating thing. Kannada builds its minor irritations out of noise.,,,,,,
bhava,1,ಬಿಗುಮಾನ,bigumāna,Distant,,,,Stiffness held on purpose: reserve that is also a kind of self-regard. Its opposite is ಸಲಿಗೆ.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಬಿಗುಮಾನ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಮೌನವೇ ಆಭರಣ,ವಿಜಯಭಾಸ್ಕರ್ · ಪಿ.ಬಿ.ಎಸ್,ತೂಗುದೀಪ · 1966,0PosS9zq20k,20
bhava,2,ಮುದುಡು,muduḍu,Withdrawn,,,,What a leaf or a touched mimosa does: to fold inward. Exactly right for a person.,,,,,,
bhava,2,ಮರಗಟ್ಟು,maragaṭṭu,Numb,,,,ಮರ + ಕಟ್ಟು: to turn to wood. Used for a foot that has gone to sleep and for a grief that has stopped registering.,,,,,,
bhava,1,ಟೀಕೆ,ṭīke,Critical,,,,"Physics and statistics, mostly. ಟೀಕೆ is fault-finding; ವಿಮರ್ಶೆ, also in the list, is the honourable kind: literary criticism. Kannada distinguishes the two, English does not.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಟೀಕೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಕುರಿಗಳು ಸಾರ್ ಕುರಿಗಳು,,ಕೆ.ಎಸ್. ನಿಸಾರ್ ಅಹಮದ್,CQF6jSS9NSw,32
bhava,2,ಅನುಮಾನ,anumāna,Skeptical,,,ಶಂಕೆ|śaṅke|misgiving with fear in it ;; ಸಂಶಯ|saṁśaya|suspicion of a person ;; ಸಂದೇಹ|sandēha|uncertainty about a fact,"Four graded words for doubt. ಶಂಕೆ leans toward fear, ಸಂಶಯ toward suspicion of a person, ಸಂದೇಹ toward uncertainty about a fact.",,,,,,
bhava,2,ಉಡಾಫೆ,uḍāphe,Dismissive,,,,"ಉಡಾಫೆ is dismissiveness worn as a style: breezy, unbothered, faintly insulting. ಅಸಡ್ಡೆ and ತಾತ್ಸಾರ are the colder cousins.",,,,,,
bhava,0,ಅಸಹ್ಯ,asahya,Disgusted,,,"ಜಿಗುಪ್ಸೆ|jigupse|world-weary revulsion ;; ಜುಗುಪ್ಸೆ|jugupse|the same, other spelling ;; ಹೇಸಿಗೆ|hēsige|filth, loathing ;; ರೋಸು|rōsu|fed up to nausea ;; ವಾಕರಿಕೆ|vākarike|nausea",ಅಸಹ್ಯ literally means 'unbearable': what cannot be borne. Kannada files disgust under endurance rather than under taste.,ಲೋಭ ಮತ್ತು ನೈತಿಕ ಜಿಗುಪ್ಸೆಯ ಮೇಲೆ ತೀಕ್ಷ್ಣ ವ್ಯಂಗ್ಯ; ಅಸಹ್ಯಕ್ಕೆ ನೇರವಾದ ಸಾಂಸ್ಕೃತಿಕ ಸಂಕೇತ.,ಕುರುಡು ಕಾಂಚಾಣ ಕುಣಿಯುತಲಿತ್ತು,ಸಿ. ಅಶ್ವತ್ಥ್,ದ.ರಾ. ಬೇಂದ್ರೆ,HKPetWFxqZM,43
bhava,1,ಒಪ್ಪದಿರು,oppadiru,Disapproving,,,ಅಸಮ್ಮತಿ|asammati|dissent ;; ಮೆಚ್ಚದಿರು|meccadiru|to not approve ;; ಆಕ್ಷೇಪ|ākṣēpa|objection,Kannada's ordinary form here is the plain negative verb: they did not agree.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಒಪ್ಪದಿರು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಆಚಾರವಿಲ್ಲದ ನಾಲಿಗೆ,ಆರತಿ,ಪುರಂದರದಾಸ · ಉಪಾಸನೆ · 1974,VhSeotVnR08,20
bhava,2,ಕೊಂಕು,koṅku,Judgmental,,,,"The crooked remark: fault-finding delivered sideways, which is how it usually arrives.",,,,,,
bhava,2,ಮುಜುಗರ,mujugara,Embarrassed,,,ಸಂಕೋಚ|saṅkōca|shrinking ;; ಇರುಸುಮುರುಸು|irusumurusu|squirming discomfort ;; ಕಸಿವಿಸಿ|kasivisi|small unease,"ಮುಜುಗರ is social awkwardness: the wince at a scene, often on someone else's behalf.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಮುಜುಗರ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಬಿಂಕದ ಸಿಂಗಾರಿ,,ಕನ್ಯಾರತ್ನ,URetKS2ebzQ,28
bhava,1,ನಿರಾಸೆ,nirāse,Disappointed,,,,"ನಿರಾಸೆ = ನಿರ್ + ಆಸೆ, de-hoped. ಆಶಾಭಂಗ, also offered, is stronger: hope actually broken.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ನಿರಾಸೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಕಣ್ಣೀರ ಧಾರೆ ಇದೇತಕೆ,,ಹೊಸ ಬೆಳಕು,K7RXspdkHmc,32
bhava,2,ಹೌಹಾರು,hauhāru,Appalled,,,ದಿಗ್ಭ್ರಮೆ|digbhrame|stupefaction ;; ಬೆಚ್ಚಿಬೀಳು|beccibīḷu|to be startled and drop ;; ಗಾಬರಿ|gābari|panic,Onomatopoeic: to recoil bodily on hearing something.,,,,,,
bhava,2,ರೋಸು,rōsu,Revolted,,,,ರೋಸಿಹೋಗಿದೆ: fed up to the point of nausea.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ರೋಸು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಬಿಟ್ಟಾಕು ಬಿಟ್ಟಾಕು,,ಸೂಪರ್ ಸ್ಟಾರ್,NORO0x0V8oA,28
bhava,1,ಘೋರ,ghōra,Awful,,,"ಅಸಹನೀಯ|asahanīya|unbearable ;; ಭೀಕರ|bhīkara|dire ;; ಕೆಟ್ಟ|keṭṭa|bad, of quality or morals",Used for an accident and for a cricket collapse alike.,,,,,,
bhava,2,ವಾಕರಿಕೆ,vākarike,Nauseated,,,,"ಹೊಟ್ಟೆ ತೊಳಸು: 'the stomach stirs'. Kannada has a full vocabulary for the gut, and uses it for feelings without apology.",,,,,,
bhava,2,ಹೇಸಿಗೆ,hēsige,Detestable,,,ಅಸಹ್ಯ|asahya|disgust ;; ಕೊಳಕು|koḷaku|dirt ;; ಜುಗುಪ್ಸೆ|jugupse|revulsion,ಹೇಸಿಗೆ is also literally filth. The moral and the physical are the same word: no metaphor required.,,,,,,
bhava,1,ಜಿಗುಪ್ಸೆ,jigupse,Repelled,,,,"ಜಿಗುಪ್ಸೆ is world-weary revulsion: the disgust that makes people renounce things, not just push a plate away.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಜಿಗುಪ್ಸೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಮಾಡಿ ಮಾಡಿ ಕೆಟ್ಟರು ಮನವಿಲ್ಲದೆ,ಕೂಡಲಸಂಗಮ ದೃಶ್ಯರೂಪಕ,ಬಸವಣ್ಣ · ವಚನ,WouMhm9UMkU,30
bhava,2,ದಿಗಿಲು,digilu,Horrified,,,ಆತಂಕ|ātaṅka|anxiety ;; ತಳಮಳ|taḷamaḷa|churn ;; ಭೀತಿ|bhīti|terror,,,,,,,
bhava,2,ಹಿಂಜರಿಕೆ,hiñjarike,Hesitant,,,,ಹಿಂಜರಿ: to slide backwards. The foot that starts to move and then doesn't.,,,,,,
bhava,0,ದುಃಖ,duḥkha,Sad,,,ಶೋಕ|śōka|formal mourning ;; ವ್ಯಥೆ|vyathe|affliction ;; ಸಂಕಟ|saṅkaṭa|the chest closing ;; ಕೊರಗು|koragu|the grief that thins you ;; ವಿಷಾದ|viṣāda|melancholy ;; ಅಳಲು|aḷalu|the wail,"ಅಶುಭ and ಅಮಂಗಳ, inauspicious, sit close to this word: for a large part of Kannada usage a sad event is an unlucky one.","ವಿರಹ, ಅಳಲು ಮತ್ತು ಕರುಣೆಯನ್ನು ಒಂದೇ ಪರಿಚಿತ ಗಾಯನದಲ್ಲಿ ಹೊತ್ತಿರುವ ಮೂಲ ದುಃಖಗೀತೆ.",ನೀ ಹೀಂಗ ನೋಡಬ್ಯಾಡ ನನ್ನ,ಸಿ. ಅಶ್ವತ್ಥ್,ದ.ರಾ. ಬೇಂದ್ರೆ,L4f3c63uSkU,33
bhava,1,ಒಂಟಿತನ,oṇṭitana,Lonely,,,"ಏಕಾಂತ|ēkānta|solitude, chosen and good ;; ಒಬ್ಬಂಟಿ|obbaṇṭi|all by oneself ;; ನಿರ್ಜನ|nirjana|deserted","Kannada draws a line English blurs: ಒಂಟಿತನ is loneliness and it hurts; ಏಕಾಂತ is solitude, chosen, and is good for you. Same 'alone', opposite verdicts.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಒಂಟಿತನ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಸೋಲ್ ಆಫ್ ದಿಯಾ,,ದಿಯಾ,cO4eJxbCedc,32
bhava,2,ಏಕಾಂಗಿ,ēkāṅgi,Isolated,,,ಒಂಟಿ|oṇṭi|alone ;; ದಿಕ್ಕಿಲ್ಲದ|dikkillada|without a direction to turn ;; ಅನಾಥ|anātha|without protector,'Single-bodied': cut off with no one on your side.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಏಕಾಂಗಿ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಒಂದೇ ಸಮನೆ ನಿಟ್ಟುಸಿರು,,ಗಾಳಿಪಟ,tVWtj9bTomg,28
bhava,2,ತಬ್ಬಲಿ,tabbali,Abandoned,,,,"ತಬ್ಬಲಿ means orphan, and it is used far past its literal sense: for anyone left without their people. One of the saddest words in the language. Orphan: used far past its literal sense, for anyone left without their people. One of the saddest words in the language.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ತಬ್ಬಲಿ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಕಾಣದಂತೆ ಮಾಯವಾದನು,,ಚಲಿಸುವ ಮೋಡಗಳು,_N80F5mJDEk,28
bhava,1,ದುರ್ಬಲತೆ,durbalate,Vulnerable,,,,"The clearest gap on the wheel. Every Kannada option means weak, breachable, at risk: all pejorative. The warm English sense of 'vulnerable', where opening up is a strength, has no Kannada word yet; people say ಮನಸ್ಸು ತೆರೆದಿಡುವುದು, 'to keep the mind open', as a description rather than a name.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ದುರ್ಬಲತೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಉಸಿರೇ ಉಸಿರೇ,,ಹುಚ್ಚ,Ukk2pr5inBA,32
bhava,2,ಬಲಿಪಶು,balipaśu,Victimised,,,,'Sacrificial animal'. Kannada's word for victim comes straight off the altar.,,,,,,
bhava,2,ನಾಜೂಕು,nājūku,Fragile,,,,"ನಾಜೂಕು is fragile-and-fine, a compliment about a person's delicacy. ಭಂಗುರ is the philosophical one: that which is destined to break.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ನಾಜೂಕು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಹೂವು ಚೆಲುವೆಲ್ಲ ನಂದೆಂದಿತು,,ಹಣ್ಣೆಲೆ ಚಿಗುರಿದಾಗ,ZgwLKTqlwbg,28
bhava,1,ಹತಾಶೆ,hatāśe,Despair,,,,"ಹತ + ಆಶೆ: hope, killed. The word contains the murder.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಹತಾಶೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಬಾಳುವಂತ ಹೂವೇ ಬಾಡುವಾಸೆ ಏಕೆ,ಉಪೇಂದ್ರ ಕುಮಾರ್ · ರಾಜಕುಮಾರ್,ಆಕಸ್ಮಿಕ · 1993,BOoWZEhCh8s,40
bhava,2,ಅಳಲು,aḷalu,Grief,,,ಶೋಕ|śōka|mourning ;; ಗೋಳು|gōḷu|wretched crying ;; ರೋದನ|rōdana|lamentation,"The wail itself. Around it: ಶೋಕ is formal mourning, ಸಂಕಟ the chest-squeeze, ಕೊರಗು the grief that thins you over years.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಅಳಲು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ನೀನೇ ಸಾಕಿದ ಗಿಣಿ,,ಮಾನಸ ಸರೋವರ,ZjNABpeGfwA,28
bhava,2,ಕೈಲಾಗದು,kailāgadu,Powerless,,,,The spoken form: 'the hands not managing it'.,ಮೋಸಕ್ಕೆ ಬಲಿಯಾಗಿ ಉಳಿಸುವವರು ಕಾಣದೆ ಕೈಚೆಲ್ಲಿರುವ ವಕ್ತೃ; ಮೊದಲ ‘ಏನು ಮಾಡಲಿ’ ಹಿಡಿತವೇ ಕೈಲಾಗದ ಸ್ಥಿತಿ.,ಏನು ಮಾಡಲಿ ನಾನು,ಜಿ. ಕೆ. ವೆಂಕಟೇಶ್ · ಡಾ. ರಾಜ್‌ಕುಮಾರ್,ತ್ರಿಮೂರ್ತಿ · 1975,Ijl821eHZWc,5
bhava,1,ಪಾಪಪ್ರಜ್ಞೆ,pāpa-prajñe,Guilty,,,,Sin-consciousness. Kannada's guilt is borrowed either from law or from the temple; it has no private word of its own.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಪಾಪಪ್ರಜ್ಞೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ತಪ್ಪು ಮಾಡದವರು ಯಾರವ್ರೆ,,ಮಠ,WT44SioY3AU,32
bhava,2,ನಾಚಿಕೆ,nāchike,Ashamed,,,"ಸಂಕೋಚ|saṅkōca|shrinking, reticence ;; ಮುಜುಗರ|mujugara|awkwardness ;; ಲಜ್ಜೆ|lajje|modesty, shame","ನಾಚಿಕೆ is one word for shyness, modesty and shame: a bride's ನಾಚಿಕೆ and a thief's are the same noun. English needs three words and grades them differently; Kannada trusts context completely.",,,,,,
bhava,2,ಪಶ್ಚಾತ್ತಾಪ,paścāttāpa,Remorseful,,,,'After-heat': the burn that arrives once the act is over.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಪಶ್ಚಾತ್ತಾಪ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಎಂದೆಂದೂ ನಿನ್ನನು ಮರೆತು ಬದುಕಿರಲಾರೆ,ರಾಜನ್-ನಾಗೇಂದ್ರ · ಪಿ.ಬಿ.ಎಸ್,ಎರಡು ಕನಸು · 1974,oB01cnveBIU,25
bhava,1,ಖಿನ್ನತೆ,khinnate,Depressed,,,,"The clinical word, and recent. Older Kannada said ಮನಸ್ಸು ಕುಗ್ಗಿದೆ: the mind has shrunk.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಖಿನ್ನತೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಕಾಣದ ಕಡಲಿಗೆ ಹಂಬಲಿಸಿದೆ ಮನ,ಸಿ. ಅಶ್ವತ್ಥ್,ಜಿ.ಎಸ್. ಶಿವರುದ್ರಪ್ಪ,n66FGCYtWBc,44
bhava,2,ಕುಗ್ಗು,kuggu,Inferior,,,,"The English wheel repeats <i>inferior</i> in two branches. Kannada usefully does not: under fear it is ಕೀಳರಿಮೆ, a belief about your rank; here under sadness it is simply shrinking.",,,,,,
bhava,2,ಬರಿದು,baridu,Empty,,,,"ಪೊಳ್ಳು is the sharper cousin: hollow, like a grain with nothing inside it. Used of people who look intact.",,,,,,
bhava,1,ನೋವು,nōvu,Hurt,,,"ಬೇನೆ|bēne|ache, ailment ;; ಯಾತನೆ|yātane|torment ;; ಬಾಧೆ|bādhe|affliction","ನೋವು is bodily pain and emotional pain with no distinction at all. 'ಮನಸ್ಸಿಗೆ ನೋವಾಯಿತು', it hurt my mind, is the ordinary way to say you were wounded.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ನೋವು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ನೀನಿರದೆ,,ಗೂಗ್ಲಿ,g5O5ufz8w34,32
bhava,2,ಆಶಾಭಂಗ,āśābhaṅga,Disappointed,,,,The second 'disappointed' on the wheel. ನಿರಾಸೆ over in ಅಸಹ್ಯ is hope that faded; ಆಶಾಭಂಗ is hope that snapped.,,,,,,
bhava,2,ಸಂಕೋಚ,saṅkōca,Embarrassed,,,,"The other 'embarrassed'. ಮುಜುಗರ is the wince at a social scene; ಸಂಕೋಚ is the shrinking-in-on-yourself, the hesitation to ask, to take, to take up room.",ಜನರು ನಗುವರೆಂಬ ಅಂಜಿಕೆಯಲ್ಲಿ ಹಿಂದೆ ಸರಿಯುವ ಪ್ರಸಂಗ ಸಂಕೋಚದ ಸಾಮಾಜಿಕ ಹಿಂಜರಿಕೆಯನ್ನು ನೇರವಾಗಿ ಹಿಡಿಯುತ್ತದೆ.,ನಾಚಿಕೆ ಇನ್ನೇಕೆ,ರಾಜನ್-ನಾಗೇಂದ್ರ · ಎಸ್. ಪಿ. ಬಾಲಸುಬ್ರಹ್ಮಣ್ಯಂ · ಎಸ್. ಜಾನಕಿ,ಕಿಲಾಡಿ ಜೋಡಿ · 1978,2025drFL5ks,20
odalu,wheel,ಒಡಲ ಚಕ್ರ,oḍalu · the body as vessel,Seven seats of the body: not a translation of anything.,ಒಡಲು,,,,,,,,,
odalu,0,ಎದೆ,ede,chest,,,,"Nerve and collapse. Kannada puts courage here rather than in the heart, ಕೆಚ್ಚೆದೆ, a chest of embers, and puts the loss of it here too.",ಹೃದಯದ ಅಲೆಮಾಳನ್ನು ನೇರವಾಗಿ ಹೇಳುವ ಜನಪ್ರಿಯ ಪಲ್ಲವಿ; ಎದೆಯ ಅನೇಕ ಭಾವಗಳಿಗೆ ವಿಶಾಲ ಆಧಾರ.,ಹೃದಯ ಸಮುದ್ರ ಕಲಕಿ,,ಅಶ್ವಮೇಧ,BxAaThBvMQo,51
odalu,1,ಧೈರ್ಯ,dhairya,courage,,,ಕೆಚ್ಚು|keccu|embers-courage ;; ಎದೆಗಾರಿಕೆ|edegārike|nerve ;; ದಿಟ್ಟತನ|diṭṭatana|boldness ;; ಛಲ|chala|resolve,The chest holding.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಧೈರ್ಯ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಆಗದು ಎಂದು ಕೈಲಾಗದು ಎಂದು,ರಾಜನ್-ನಾಗೇಂದ್ರ · ಪಿ.ಬಿ.ಎಸ್,ಬಂಗಾರದ ಮನುಷ್ಯ · 1972,-Oryie1c-gs,50
odalu,2,ಕೆಚ್ಚೆದೆ,keccede,fierce courage,a chest of embers,,,"ಕೆಚ್ಚು is heat held in the body. The bravery word is thermal, not moral.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಕೆಚ್ಚೆದೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಕನ್ನಡ ನಾಡಿನ ವೀರ ರಮಣಿಯ,,ನಾಗರಹಾವು,ziNXOdlPLLE,28
odalu,2,ಎದೆಗಾರಿಕೆ,edegārike,nerve,chest-having,,,"The willingness to stand up and say it: closer to 'having the guts', one organ higher.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಎದೆಗಾರಿಕೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಆಕಾಶವೇ ಬೀಳಲಿ ಮೇಲೆ,,ನ್ಯಾಯವೇ ದೇವರು,9dtaiMx6Rl4,28
odalu,1,ಕುಗ್ಗು,kuggu,losing heart,,,,"The English wheel repeats <i>inferior</i> in two branches. Kannada usefully does not: under fear it is ಕೀಳರಿಮೆ, a belief about your rank; here under sadness it is simply shrinking.",,,,,,
odalu,2,ಎದೆಗುಂದು,edegundu,dismay,the chest sinks,,,The standard word. Kannada names the physical drop and leaves the feeling to be inferred.,,,,,,
odalu,2,ಎದೆ ಒಡೆ,ede oḍe,devastation,the chest breaks,,,Reserved for news that arrives all at once. English 'heartbreak' drifted toward romance; this did not.,,,,,,
