ring,sector_en,english,kannada,transliteration,status,rala_hits,note
branch,Angry,Critical,ಟೀಕೆ,ṭīke,shaped,ಕ್ರಾಂತಿಕೋನ ⟨critical angle⟩ ; ವಿಷಮ ಮೌಲ್ಯ ⟨critical value⟩ ; ವಿಮರ್ಶಾತ್ಮಕ,"Physics and statistics, mostly. ಟೀಕೆ is fault-finding; ವಿಮರ್ಶೆ, also in the list, is the honourable kind — literary criticism. Kannada distinguishes the two, English does not."
leaf,Angry,Skeptical,ಅನುಮಾನ,anumāna,direct,ಅನುಮಾನ ; ಸಂಶಯ ; ಸಂದೇಹ ; ಶಂಕೆ,"Four graded words for doubt. ಶಂಕೆ leans toward fear, ಸಂಶಯ toward suspicion of a person, ಸಂದೇಹ toward uncertainty about a fact."
leaf,Angry,Dismissive,ಉಡಾಫೆ,uḍāphe,shaped,ತಳ್ಳಿಹಾಕು ; ನಿರ್ಲಕ್ಷಿಸು ; ವಜಾ ಮಾಡು ⟨dismiss from service⟩,"ಉಡಾಫೆ is dismissiveness worn as a style — breezy, unbothered, faintly insulting. ಅಸಡ್ಡೆ and ತಾತ್ಸಾರ are the colder cousins."
core,Disgusted,Disgusted,ಅಸಹ್ಯ,asahya,direct,ಅಸಹ್ಯ ; ಜಿಗುಪ್ಸೆ ; ಹೇಸಿಕೆ ; ರೋಸು ; ವಾಕರಿಕೆ,ಅಸಹ್ಯ literally means 'unbearable' — what cannot be borne. Kannada files disgust under endurance rather than under taste.
branch,Disgusted,Disapproving,ಅಸಮ್ಮತಿ,asammati,direct,ಅಸಮ್ಮತಿ ; ಮೆಚ್ಚದಿರು ; ಒಪ್ಪದಿರು,
leaf,Disgusted,Judgmental,ಕೊಂಕು,koṅku,shaped,ನ್ಯಾಯಾಧೀಶ ⟨judge⟩ ; ಜಿಲ್ಲಾ ನ್ಯಾಯಾಧೀಶ ⟨district judge⟩ ; ಖಂಡನೆ,"rala went straight to the judiciary. ಕೊಂಕು is the crooked remark — fault-finding delivered sideways, which is how it usually arrives."
leaf,Disgusted,Embarrassed,ಮುಜುಗರ,mujugara,direct,ಮುಜುಗರ ಉಂಟಾದ,"ಮುಜುಗರ is social awkwardness — the wince at a scene, often on someone else's behalf."
branch,Disgusted,Disappointed,ನಿರಾಸೆ,nirāse,direct,ನಿರಾಶೆಗೊಂಡ ; ಆಶಾಭಂಗ ; ಹತಾಶೆ,"ನಿರಾಸೆ = ನಿರ್ + ಆಸೆ, de-hoped. ಆಶಾಭಂಗ, also offered, is stronger: hope actually broken."
leaf,Disgusted,Appalled,ದಿಗ್ಭ್ರಮೆ,digbhrame,direct,ದಿಗ್ಭ್ರಮೆಗೊಂಡ ; ಭೀತ ; ಗಾಬರಿಗೊಂಡ,'Directions-confusion' — the compass spins. Shock that leaves you not knowing which way is which.
leaf,Disgusted,Revolted,ರೋಸು,rōsu,shaped,ದಂಗೆ ⟨rebellion⟩ ; ಬಂಡಾಯ ; ವಿದ್ರೋಹ,rala took revolt politically — every hit is an uprising. ರೋಸಿಹೋಗಿದೆ is the feeling: fed up to the point of nausea.
branch,Disgusted,Awful,ಅಸಹನೀಯ,asahanīya,shaped,ಭಯಾನಕವಾದ ; ಭೀಕರ,"rala's answers mean terrifying, which is awe-ful in the old sense. The modern 'this is awful' is ಅಸಹನೀಯ — unendurable."
leaf,Disgusted,Nauseated,ವಾಕರಿಕೆ,vākarike,direct,ವಾಕರಿಕೆ ; ಓಕರಿಕೆ ; ಹೊಟ್ಟೆ ತೊಳಸು,"ಹೊಟ್ಟೆ ತೊಳಸು — 'the stomach stirs'. Kannada has a full vocabulary for the gut, and uses it for feelings without apology."
leaf,Disgusted,Detestable,ಹೇಸಿಗೆ,hēsige,direct,ಹೇಸು ; ಅಸಹ್ಯಪಡು ; ಹೇಸಿಗೆ ಪಡು,ಹೇಸಿಗೆ is also literally filth. The moral and the physical are the same word — no metaphor required.
branch,Disgusted,Repelled,ಜಿಗುಪ್ಸೆ,jigupse,direct,ಜಿಗುಪ್ಸೆಗೊಳಿಸು ; ಹಿಮ್ಮೆಟ್ಟಿಸು ; ವಿಕರ್ಷಿಸು,"ಜಿಗುಪ್ಸೆ is world-weary revulsion — the disgust that makes people renounce things, not just push a plate away."
leaf,Disgusted,Horrified,ದಿಗಿಲು,digilu,direct,ದಿಗಿಲುಗೊಳಿಸು ; ಭಯಹುಟ್ಟಿಸು ; ದಿಕ್ಕುಗೆಡಿಸು,
leaf,Disgusted,Hesitant,ಹಿಂಜರಿಕೆ,hiñjarike,direct,ಹಿಂಜರಿಯುವ ; ಹಿಮ್ಮೆಟ್ಟುವ ; ಶಂಕೆಯುಳ್ಳ,ಹಿಂಜರಿ — to slide backwards. The foot that starts to move and then doesn't.
core,Sad,Sad,ದುಃಖ,duḥkha,direct,ದುಃಖಕರ ; ವಿಷಾದಕರ ; ಶೋಚನೀಯ ; ಕುಗ್ಗಿದ ; ಸೊರಗಿದ ; ಅಮಂಗಳ ⟨inauspicious⟩,"Note ಅಶುಭ / ಅಮಂಗಳ in rala's list — 'inauspicious'. For a large part of Kannada usage, sadness and bad omen are adjacent ideas; a sad event is an unlucky one."
branch,Sad,Lonely,ಒಂಟಿತನ,oṇṭitana,direct,ಒಂಟಿ ; ಏಕಾಂಗಿ ; ಒಬ್ಬನೇ,"Kannada draws a line English blurs: ಒಂಟಿತನ is loneliness and it hurts; ಏಕಾಂತ is solitude, chosen, and is good for you. Same 'alone', opposite verdicts."
leaf,Sad,Isolated,ಏಕಾಂಗಿತನ,ēkāṅgitana,shaped,ಪ್ರತ್ಯೇಕಿಸಿದ ; ಬೇರ್ಪಡಿಸಿದ ; ಪ್ರತ್ಯೇಕ ಸ್ಥಳ,rala's words are all quarantine and land-parcels. ಏಕಾಂಗಿ is 'single-bodied' — cut off with no one on your side.
leaf,Sad,Abandoned,ತಬ್ಬಲಿತನ,tabbalitana,shaped,ತೊರೆದ ಪ್ರದೇಶ ⟨abandoned area⟩ ; ತಬ್ಬಲಿ,"ತಬ್ಬಲಿ means orphan, and it is used far past its literal sense — for anyone left without their people. One of the saddest words in the language."
branch,Sad,Vulnerable,ದುರ್ಬಲತೆ,durbalate,gap,ಸುಭೇದ್ಯ ; ಭೇದ್ಯ ; ದುರ್ಬಲ ಸ್ಥಿತಿ ⟨vulnerable stage⟩,"The clearest gap on the wheel. Every Kannada option means weak, breachable, at risk — all pejorative. The warm English sense of 'vulnerable', where opening up is a strength, has no Kannada word yet; people say ಮನಸ್ಸು ತೆರೆದಿಡುವುದು, 'to keep the mind open', as a description rather than a name."
leaf,Sad,Victimised,ಬಲಿಪಶು,balipaśu,direct,ಬಲಿಪಶುಮಾಡು ; ಪೀಡಿಸು ; ಸತಾಯಿಸು,'Sacrificial animal'. Kannada's word for victim comes straight off the altar.
leaf,Sad,Fragile,ನಾಜೂಕು,nājūku,direct,ನಾಜೂಕಾದ ; ಭಂಗುರ ; ಶಿಥಿಲ,"ನಾಜೂಕು is fragile-and-fine, a compliment about a person's delicacy. ಭಂಗುರ is the philosophical one: that which is destined to break."
branch,Sad,Despair,ಹತಾಶೆ,hatāśe,direct,ಹತಾಶೆ ; ನಿರಾಶೆ ; ಎದೆಗುಂದು ; ಆಸೆಗೆಡು,"ಹತ + ಆಶೆ: hope, killed. The word contains the murder."
leaf,Sad,Grief,ಅಳಲು,aḷalu,direct,ಅಳಲು ; ಶೋಕ ; ಸಂಕಟ ; ಕೊರಗು ; ವ್ಯಥೆ,"rala's whole list is worth reading: ಶೋಕ is formal mourning, ಸಂಕಟ is the chest-squeeze, ಕೊರಗು is the grief that thins you over years, ಅಳಲು is the wail itself."
leaf,Sad,Powerless,ಕೈಲಾಗದತನ,kailāgadatana,shaped,ಶಕ್ತಿಹೀನ ; ಬಲಹೀನ ; ದುರ್ಬಲ,rala offers strength-less. ಕೈಲಾಗದತನ is the spoken form: 'the state of the hands not managing it'.
branch,Sad,Guilty,ಪಾಪಪ್ರಜ್ಞೆ,pāpa-prajñe,shaped,ಅಪರಾಧಿ ; ತಪ್ಪಿತಸ್ಥ ; ದೋಷಿ ; ಅಪರಾಧಿ ಮನೋಭಾವ ⟨guilty mind⟩,"Every hit is courtroom Kannada — the accused, the convicted. The inner feeling had to be named religiously instead: ಪಾಪಪ್ರಜ್ಞೆ, sin-consciousness. Kannada's guilt is borrowed either from law or from temple; it has no private word of its own."
leaf,Sad,Ashamed,ನಾಚಿಕೆ,nāchike,shaped,ಅವಮಾನಗೊಂಡ ; ಮಾನಗೆಟ್ಟ,"ನಾಚಿಕೆ is one word for shyness, modesty and shame — a bride's ನಾಚಿಕೆ and a thief's are the same noun. English needs three words and grades them differently; Kannada trusts context completely."
leaf,Sad,Remorseful,ಪಶ್ಚಾತ್ತಾಪ,paścāttāpa,direct,ಪಶ್ಚಾತ್ತಾಪ ; ಅನುತಾಪ ; ಮರುಕ,'After-heat' — the burn that arrives once the act is over.
branch,Sad,Depressed,ಖಿನ್ನತೆ,khinnate,shaped,ದಲಿತ ವರ್ಗ ⟨depressed classes⟩ ; ಶೋಷಿತ ; ಕುಗ್ಗಿದ ; ನಿರುತ್ಸಾಹದ,"A striking result: rala's first hits for depressed are ದಲಿತ and ಶೋಷಿತ — the colonial administrative phrase 'depressed classes'. The clinical word ಖಿನ್ನತೆ is recent; older Kannada said ಮನಸ್ಸು ಕುಗ್ಗಿದೆ, 'the mind has shrunk'."
leaf,Sad,Inferior,ಕುಗ್ಗುವಿಕೆ,kugguvike,shaped,ಕುಗ್ಗಿದ ; ಇಳಿದ ; ತಗ್ಗಿದ,"The English wheel repeats 'inferior' in two branches. Kannada usefully doesn't: under fear it is ಕೀಳರಿಮೆ, a belief about your rank; here under sadness it is ಕುಗ್ಗುವಿಕೆ, simply shrinking."
leaf,Sad,Empty,ಬರಿದುತನ,bariduṭana,shaped,ಬರಿದು ; ಖಾಲಿ ; ಪೊಳ್ಳು ; ಶೂನ್ಯ,"rala's ಪೊಳ್ಳು is the good one — hollow, like a grain with nothing inside it. Used of people who look intact."
branch,Sad,Hurt,ನೋವು,nōvu,direct,"ನೋವು ; ನೋಯಿಸು ; ಗಾಯ ; ಸಾಧಾರಣ ಗಾಯ ⟨simple hurt, IPC⟩",ನೋವು is bodily pain and emotional pain with no distinction at all. 'ಮನಸ್ಸಿಗೆ ನೋವಾಯಿತು' — it hurt my mind — is the ordinary way to say you were wounded.
leaf,Sad,Disappointed,ಆಶಾಭಂಗ,āśābhaṅga,direct,ಆಶಾಭಂಗ ; ನಿರಾಶೆಗೊಂಡ,The second 'disappointed' on the wheel. ನಿರಾಸೆ over in ಅಸಹ್ಯ is hope that faded; ಆಶಾಭಂಗ is hope that snapped.
leaf,Sad,Embarrassed,ಸಂಕೋಚ,saṅkōca,shaped,ಮುಜುಗರ ಉಂಟಾದ,"The other 'embarrassed'. ಮುಜುಗರ is the wince at a social scene; ಸಂಕೋಚ is the shrinking-in-on-yourself, the hesitation to ask, to take, to take up room."
